date,stock_id,close,volume,source_type,stage,main_force_score,accumulation_score,control_score,structure_score,test_move_score,pre_breakout_score,note
2026-04-24,2328,44.4,3300959,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2329,55.3,8405188,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2330,2185.0,52391785,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2331,20.3,2241872,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2332,14.1,12173422,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2337,132.0,150260221,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2338,47.35,4683100,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2340,36.85,21841383,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2342,31.6,3034672,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2344,88.2,122540288,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2345,2140.0,5127676,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2347,82.6,4868035,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2348,73.2,294562,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2349,12.8,4285221,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2351,147.0,18361575,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2352,24.6,7175374,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2353,27.65,24139491,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2354,51.4,5997515,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2355,53.1,28140319,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2356,48.1,44404388,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2357,585.0,5501754,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2359,109.0,904128,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2360,1920.0,3337736,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2362,38.2,489095,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2363,55.0,14775270,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2364,63.7,241568,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2365,34.25,11608961,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2367,57.4,79066495,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2368,1390.0,8735359,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2369,29.05,9950480,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2371,30.3,13063108,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2373,57.3,29141,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2374,71.3,4195716,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2375,79.2,1600632,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2376,278.0,5035689,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2377,95.1,19888419,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2379,539.0,3724010,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2380,5.1,153455,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2382,323.0,18393593,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2383,4475.0,4429294,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2385,125.0,3615646,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2387,41.7,557095,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2388,78.2,45979056,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2390,9.94,756947,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2392,36.4,1420838,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2393,70.9,2068747,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2395,354.0,1858933,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2397,57.1,301737,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2399,43.65,49139699,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2401,25.5,13989533,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2402,70.6,18665179,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2404,989.0,4525452,latest_price_panel_stock_snapshot,,,,,,,,
2026-04-24,2405,15.1,1480440,latest_price_panel_stock_snapshot,,,,,,,,
