engine,signal_date,trade_date,symbol,market,signal_close,mom_5d,std_5d,trade_ret,weight_engine,weight_portfolio,wret,capital_after_trade,cash_mode
B,2026-02-25,2026-02-26,1315,TWSE,65.6,0.02499999999999991,0.0033643531214973474,-0.004573170731707266,0.1217323036664552,0.02434646073329104,-0.0001113405216461468,99196.75267908498,False
B,2026-02-25,2026-02-26,2107,TWSE,25.7,0.032128514056224855,0.0038351736846302846,0.005836575875486361,0.13572403398378127,0.02714480679675626,0.00015843272449468578,99196.75267908498,False
A,2026-02-26,2026-03-02,1225,TWSE,29.7,0.03484320557491283,0.0023665199377218946,0.09764309764309775,0.26212150404406276,0.15727290242643766,0.015356613368238037,103374.06267109531,False
A,2026-02-26,2026-03-02,1802,TWSE,61.1,0.42757009345794406,0.044326543552945866,0.09983633387888702,0.11250557242251986,0.06750334345351192,0.006739286334965998,103374.06267109531,False
A,2026-02-26,2026-03-02,2013,TWSE,43.45,0.049516908212560384,0.004598491204604972,-0.0069044879171462625,0.14020492771797616,0.08412295663078569,-0.0005808259376118789,103374.06267109531,False
A,2026-02-26,2026-03-02,2102,TWSE,20.85,0.07474226804123729,0.00695095799727039,0.00959232613908867,0.139807425506955,0.08388445530417299,0.0008046470532774337,103374.06267109531,False
A,2026-02-26,2026-03-02,2323,TWSE,11.25,0.11386138613861396,0.012997670262190179,-0.004444444444444473,0.09279166834630963,0.05567500100778577,-0.0002474444489234939,103374.06267109531,False
A,2026-02-26,2026-03-02,2338,TWSE,49.2,0.44918998527245946,0.04850643216430439,0.09959349593495936,0.10369279858282383,0.062215679149694295,0.006196276988485815,103374.06267109531,False
A,2026-02-26,2026-03-02,2360,TWSE,1380.0,0.32692307692307687,0.04171860741572875,0.09782608695652173,0.07425379859346731,0.044552279156080385,0.004358375134833951,103374.06267109531,False
A,2026-02-26,2026-03-02,2404,TWSE,1130.0,0.2444933920704846,0.031122634774313207,-0.04867256637168138,0.07462230478588547,0.04477338287153128,-0.0021792354494993083,103374.06267109531,False
B,2026-02-26,2026-03-02,1225,TWSE,29.7,0.03484320557491283,0.0023665199377218946,0.09764309764309775,0.6073711527396106,0.12147423054792214,0.01186112015451093,103374.06267109531,False
B,2026-02-26,2026-03-02,2013,TWSE,43.45,0.049516908212560384,0.004598491204604972,-0.0069044879171462625,0.1671897638503196,0.03343795277006392,-0.00023087194087501376,103374.06267109531,False
B,2026-02-26,2026-03-02,2102,TWSE,20.85,0.07474226804123729,0.00695095799727039,0.00959232613908867,0.11029285348103852,0.022058570696207706,0.00021159300428016852,103374.06267109531,False
B,2026-02-26,2026-03-02,2107,TWSE,25.85,0.029880478087649376,0.003718416266453112,-0.007736943907156735,0.11514622992903124,0.02302924598580625,-0.00017817598441629735,103374.06267109531,False
A,2026-03-02,2026-03-03,1215,TWSE,155.5,0.047138047138047146,0.007867279412374707,0.003215434083601254,4.7080907169535995e-06,2.8248544301721598e-06,9.083133215987562e-09,103068.15531938252,False
A,2026-03-02,2026-03-03,1471,TWSE,14.3,0.32407407407407396,0.03785866390994216,-0.08391608391608396,9.609679388071241e-06,5.765807632842745e-06,-4.838439971616292e-07,103068.15531938252,False
A,2026-03-02,2026-03-03,1708,TWSE,37.35,0.06258890469416789,0.009882593609140655,0.02008032128514059,5.2602168865298205e-06,3.1561301319178926e-06,6.337610706662444e-08,103068.15531938252,False
A,2026-03-02,2026-03-03,1802,TWSE,67.2,0.42826780021253996,0.04440213103569332,-0.05208333333333337,1.2200401053808622e-05,7.320240632285173e-06,-3.812625329315197e-07,103068.15531938252,False
A,2026-03-02,2026-03-03,2102,TWSE,21.05,0.06582278481012671,0.006913763526448385,-0.002375296912114022,1.1887054292285841e-05,7.132232575371504e-06,-1.6941170012758974e-08,103068.15531938252,False
A,2026-03-02,2026-03-03,2338,TWSE,54.1,0.6077265973254087,0.00022008840936311763,-0.003696857670979714,0.999928869304374,0.5999573215826244,-0.002217956826553168,103068.15531938252,False
A,2026-03-02,2026-03-03,2360,TWSE,1515.0,0.44285714285714284,0.033535108991126716,-0.07920792079207917,2.2870662597341753e-05,1.3722397558405052e-05,-1.0869225788835679e-06,103068.15531938252,False
A,2026-03-02,2026-03-03,2385,TWSE,126.0,0.05439330543933063,0.009189617703093863,0.0,4.594590691131648e-06,2.7567544146789884e-06,0.0,103068.15531938252,False
B,2026-03-02,2026-03-03,2102,TWSE,21.05,0.06582278481012671,0.006913763526448385,-0.002375296912114022,3.7843331989283864e-07,7.568666397856773e-08,-1.7977829923650353e-10,103068.15531938252,False
B,2026-03-02,2026-03-03,2109,TWSE,15.15,0.013377926421404673,0.0027949225385439,-0.00990099009900991,2.366183530077462e-07,4.732367060154924e-08,-4.685511940747454e-10,103068.15531938252,False
B,2026-03-02,2026-03-03,2338,TWSE,54.1,0.6077265973254087,0.00022008840936311763,-0.003696857670979714,0.9999992348386408,0.19999984696772818,-0.0007393709684574149,103068.15531938252,False
B,2026-03-02,2026-03-03,2360,TWSE,1515.0,0.44285714285714284,0.033535108991126716,-0.07920792079207917,1.501096862545904e-07,3.0021937250918084e-08,-2.3779752277954906e-09,103068.15531938252,False
A,2026-03-03,2026-03-04,1215,TWSE,156.0,0.05050505050505061,0.007003106683756773,0.0032051282051281937,0.16180202399409863,0.09708121439645917,0.00031115773845018853,99896.94629811247,False
A,2026-03-03,2026-03-04,1402,TWSE,29.1,0.03191489361702127,0.006723005428080667,-0.027491408934707917,0.07010608069680617,0.0420636484180837,-0.0011563889599473188,99896.94629811247,False
A,2026-03-03,2026-03-04,1582,TWSE,76.6,0.0942857142857143,0.018327869117447774,0.06266318537859017,0.08233106498096628,0.04939863898857976,0.0030954760723914255,99896.94629811247,False
A,2026-03-03,2026-03-04,1708,TWSE,38.1,0.0702247191011236,0.010500203508248368,-0.03805774278215235,0.1391491139039662,0.08348946834237972,-0.0031774207111929386,99896.94629811247,False
A,2026-03-03,2026-03-04,1727,TWSE,49.7,0.0722761596548005,0.013941206666794026,-0.06438631790744476,0.08361520971993364,0.05016912583196019,-0.003230205284955188,99896.94629811247,False
A,2026-03-03,2026-03-04,2102,TWSE,21.0,0.05263157894736836,0.009802158091691016,-0.09523809523809523,0.0896902518191809,0.05381415109150854,-0.005125157246810337,99896.94629811247,False
A,2026-03-03,2026-03-04,2338,TWSE,53.9,0.45675675675675675,0.046212305457054674,-0.09740259740259738,0.3039139329960659,0.18234835979763953,-0.017761203876393458,99896.94629811247,False
A,2026-03-03,2026-03-04,2367,TWSE,72.4,0.29982046678635554,0.06348242803804997,-0.019337016574585753,0.06939232188898238,0.041635393133389424,-0.0008051042871097451,99896.94629811247,False
B,2026-03-03,2026-03-04,1215,TWSE,156.0,0.05050505050505061,0.007003106683756773,0.0032051282051281937,0.36666824263322106,0.07333364852664422,0.000235043745277705,99896.94629811247,False
B,2026-03-03,2026-03-04,1321,TWSE,34.05,0.019461077844311392,0.004781104342825837,-0.022026431718061623,0.17109012054516337,0.03421802410903268,-0.0007537009715645947,99896.94629811247,False
B,2026-03-03,2026-03-04,1708,TWSE,38.1,0.0702247191011236,0.010500203508248368,-0.03805774278215235,0.21031141185040808,0.04206228237008162,-0.0016007955232708276,99896.94629811247,False
B,2026-03-03,2026-03-04,2385,TWSE,126.0,0.02857142857142847,0.005428583168626742,-0.015873015873015928,0.25193022497120754,0.05038604499424151,-0.0007997784919720902,99896.94629811247,False
A,2026-03-04,2026-03-05,1215,TWSE,156.5,0.039867109634551534,0.007205161787981738,0.006389776357827559,0.2354197316848341,0.061797679567268934,0.00039487335186753827,99992.35511383356,True
A,2026-03-04,2026-03-05,1225,TWSE,32.25,0.10634648370497435,0.043965700468416,-0.023255813953488413,0.044990333282178156,0.011809962486571762,-0.0002746502903853903,99992.35511383356,True
A,2026-03-04,2026-03-05,1313,TWSE,12.8,0.1636363636363638,0.039834034060993284,-0.0390625,0.12976333288009448,0.03406287488102479,-0.0013305810500400307,99992.35511383356,True
A,2026-03-04,2026-03-05,1582,TWSE,81.4,0.16452074391988547,0.022907196124279876,0.011056511056510843,0.39664170590140274,0.1041184477991182,0.0011511867692776975,99992.35511383356,True
A,2026-03-04,2026-03-05,1720,TWSE,64.0,0.04234527687296419,0.029214294918631863,0.0078125,0.016155487211501427,0.0042408153930191235,3.31313702579619e-05,99992.35511383356,True
